pitcher,yearID,age_pit,pitch_count,avg_release_speed,avg_effective_speed,avg_release_spin_rate,avg_release_extension,fastball_pitch_count,fastball_usage_rate,fastball_avg_speed,fastball_avg_effective_speed,fastball_avg_spin,fastball_avg_extension,breaking1_pitch_type,breaking1_pitch_name,breaking1_pitch_count,breaking1_usage_rate,breaking1_avg_speed,breaking1_avg_effective_speed,breaking1_avg_spin,breaking1_avg_extension,breaking2_pitch_type,breaking2_pitch_name,breaking2_pitch_count,breaking2_usage_rate,breaking2_avg_speed,breaking2_avg_effective_speed,breaking2_avg_spin,breaking2_avg_extension
112526,2015,252.0,733,87.50927694406549,85.57344398340248,2140.5481171548117,5.216044260027663,563.0,0.7680763983628922,88.82646536412079,86.95306859205776,2193.389891696751,5.2738267148014435,SL,Slider,82.0,0.11186903137789904,82.64024390243902,80.45802469135802,2110.0933333333332,4.890123456790124,CU,Curveball,8.0,0.010914051841746248,81.5,79.075,1758.125,4.875
112526,2016,258.0,625,87.752,85.80778145695365,2135.8097643097644,5.197516556291391,570.0,0.912,88.30245614035088,86.34239130434783,2144.5136612021856,5.2088768115942035,SL,Slider,35.0,0.056,82.45142857142858,80.35151515151514,2269.230769230769,4.942424242424242,,,,,,,,
112526,2017,220.0,425,86.79101654846335,84.8548463356974,2087.8345153664304,5.2130023640661936,340.0,0.8,88.08764705882352,86.10058823529413,2127.220588235294,5.215882352941176,SL,Slider,29.0,0.06823529411764706,81.42413793103448,79.54137931034482,2351.206896551724,4.986206896551724,,,,,,,,
112526,2018,225.0,417,86.37721822541967,84.49254807692309,2123.4076738609115,5.160671462829736,344.0,0.8249400479616307,87.49825581395349,85.5796511627907,2162.8517441860463,5.181686046511628,SL,Slider,28.0,0.0671462829736211,80.88214285714285,78.83928571428571,2366.6428571428573,4.7749999999999995,,,,,,,,
115629,2015,215.0,172,91.97034883720931,91.2654970760234,2013.9526627218936,6.081871345029239,130.0,0.7558139534883721,93.62923076923076,92.93023255813954,2030.1953125,6.116279069767442,SL,Slider,30.0,0.1744186046511628,87.53999999999999,86.77,2078.9310344827586,5.9,,,,,,,,
136600,2015,38.0,88,80.55340909090908,79.05581395348837,2189.635294117647,5.038372093023256,33.0,0.375,85.05757575757576,83.74242424242425,2221.060606060606,5.369696969696969,SL,Slider,29.0,0.32954545454545453,81.96206896551725,80.38928571428572,2206.703703703704,4.910714285714286,CU,Curveball,10.0,0.11363636363636363,73.25,70.97,2791.3,4.43
150116,2015,39.0,71,83.51408450704226,82.74225352112676,2064.8142857142857,5.759154929577464,40.0,0.5633802816901409,87.56,87.005,1968.85,5.95,SL,Slider,15.0,0.2112676056338028,83.98666666666666,83.06,2192.0714285714284,5.626666666666667,CU,Curveball,12.0,0.16901408450704225,69.94166666666666,68.64999999999999,2349.0,5.308333333333334
150274,2015,41.0,4,88.125,87.375,2405.5,5.55,1.0,0.25,92.4,91.9,2260.0,5.8,SL,Slider,3.0,0.75,86.7,85.86666666666667,2454.0,5.466666666666666,,,,,,,,
150274,2016,42.0,37,87.95135135135135,87.20270270270271,2150.222222222222,5.594594594594595,20.0,0.5405405405405406,91.485,90.92,2208.45,5.755,CU,Curveball,8.0,0.21621621621621623,82.3875,81.4,2395.714285714286,5.3375,SL,Slider,8.0,0.21621621621621623,84.9125,83.825,1815.875,5.3875
150302,2015,74.0,200,85.057,85.48816568047337,1803.078313253012,6.052662721893491,103.0,0.515,88.67864077669904,87.5978021978022,1852.9444444444443,6.082417582417582,SL,Slider,53.0,0.265,82.9132075471698,84.09767441860464,2012.142857142857,6.067441860465116,,,,,,,,
150359,2015,190.0,557,88.46445242369838,88.5589219330855,1992.2509505703422,6.45910780669145,358.0,0.6427289048473968,91.41927374301676,91.74826589595376,2011.2654867256638,6.619364161849711,KC,Knuckle Curve,155.0,0.27827648114901254,82.32000000000001,81.86979865771812,2028.3402777777778,6.105369127516779,,,,,,,,
218596,2015,160.0,347,85.31242774566473,84.11809210526316,2043.9187279151943,5.628618421052632,286.0,0.8242074927953891,87.11678321678322,85.9593625498008,2085.581896551724,5.657370517928287,CU,Curveball,34.0,0.09798270893371758,75.59117647058824,73.98,2216.4333333333334,5.286666666666667,,,,,,,,
