name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last
pino,yohan,464416,pinoy001,pinoyo01,6955,2014.0,2015.0
romine,andrew,461865,romia001,rominan01,1159,2010.0,2021.0
broxton,jonathan,455009,broxj001,broxtjo01,4759,2005.0,2017.0
pérez,óliver,424144,pereo002,perezol01,1514,2002.0,2022.0
thornton,matt,407819,thorm001,thornma01,1918,2004.0,2016.0
buehrle,mark,279824,buehm001,buehrma01,225,2000.0,2015.0
balester,collin,444446,balec001,balesco01,6883,2008.0,2015.0
hill,aaron,431094,hilla001,hillaa01,6104,2005.0,2017.0
ethier,andre,444843,ethia001,ethiean01,6265,2006.0,2017.0
worley,vance,474699,worlv001,worleva01,6435,2010.0,2017.0
kazmar,sean,453527,kazms002,kazmase01,7349,2008.0,2021.0
rodriguez,fernando,451775,rodrf004,rodrife02,7558,2009.0,2016.0
ortiz,david,120074,ortid001,ortizda01,745,1997.0,2016.0
marcum,shaun,451788,marcs001,marcush01,6204,2005.0,2015.0
bourgeois,jason,430652,bourj001,bourgja01,2225,2008.0,2015.0
zobrist,ben,450314,zobrb001,zobribe01,7435,2006.0,2019.0
mann,brandon,448167,mannb001,mannbr01,5172,2018.0,2018.0
hughes,phil,461833,hughp001,hugheph01,7450,2007.0,2018.0
kendrick,howie,435062,kendh001,kendrho01,4229,2006.0,2020.0
napoli,mike,435063,napom001,napolmi01,3057,2006.0,2017.0
young,delmon,430321,yound003,youngde03,2140,2006.0,2015.0
doolittle,sean,448281,dools001,doolise01,1581,2012.0,2022.0
alburquerque,al,456379,albua001,albural01,6324,2011.0,2017.0
tulowitzki,troy,453064,tulot001,tulowtr01,3531,2006.0,2019.0
feldman,scott,444857,felds001,feldmsc01,6283,2005.0,2017.0
delabar,steve,447755,delas001,delabst01,11827,2011.0,2016.0
johnson,chris,453400,johnc003,johnsch05,1191,2009.0,2016.0
kinsler,ian,435079,kinsi001,kinslia01,6195,2006.0,2019.0
wilhelmsen,tom,452666,wilht001,wilheto01,9975,2011.0,2017.0
abad,fernando,472551,abadf001,abadfe01,4994,2010.0,2023.0
suzuki,kurt,435559,suzuk001,suzukku01,8259,2007.0,2022.0
cuddyer,michael,150212,cuddm001,cuddymi01,1534,2001.0,2015.0
moss,brandon,461235,mossb001,mossbr01,4467,2007.0,2017.0
valbuena,luis,472528,valbl001,valbulu01,4969,2008.0,2018.0
choo,shin-soo,425783,choos001,choosh01,3174,2005.0,2020.0
casilla,santiago,433586,garcj002,garcija01,2873,2004.0,2018.0
hardy,j. j.,429666,hardj003,hardyjj01,3797,2005.0,2017.0
loney,james,425766,lonej001,loneyja01,4556,2006.0,2016.0
mauer,joe,408045,mauej001,mauerjo01,1857,2004.0,2018.0
madson,ryan,425492,madsr001,madsory01,1852,2003.0,2018.0
hanigan,ryan,452672,hanir001,hanigry01,4952,2007.0,2017.0
santana,ervin,429722,sante001,santaer01,3200,2005.0,2021.0
sabathia,cc,282332,sabac001,sabatc.01,404,2001.0,2019.0
blanco,andrés,433217,blana001,blancan01,1907,2004.0,2017.0
torres,carlos,448614,torrc001,torreca01,7624,2009.0,2019.0
joyce,matt,459964,joycm001,joycema01,3353,2008.0,2021.0
tsao,chin-hui,425835,tsaoc001,tsaoch01,1776,2003.0,2016.0
saltalamacchia,jarrod,457454,saltj001,saltaja01,5557,2007.0,2018.0
crawford,carl,408307,crawc002,crawfca02,1201,2002.0,2016.0
gonzález,carlos,471865,gonzc001,gonzaca01,7287,2008.0,2019.0
moore,adam,446192,moora001,mooread01,9362,2009.0,2018.0
leblanc,wade,453281,leblw001,leblawa01,5221,2008.0,2021.0
wieters,matt,446308,wietm001,wietema01,4298,2009.0,2020.0
martínez,víctor,400121,martv001,martivi01,393,2002.0,2018.0
wright,wesley,449079,wrigw001,wrighwe01,5960,2008.0,2015.0
harang,aaron,421685,haraa001,haranaa01,1451,2002.0,2015.0
aviles,mike,449107,avilm001,avilemi01,5986,2008.0,2017.0
santos,sergio,435045,sants001,santose01,4734,2010.0,2015.0
hernández,félix,433587,hernf002,hernafe02,4772,2005.0,2019.0
mercer,jordy,474568,mercj002,mercejo03,6547,2012.0,2021.0
gomes,brandon,460156,gomeb001,gomesbr01,2267,2011.0,2015.0
dominguez,chris,458689,domic001,dominch01,9718,2014.0,2015.0
luebke,cory,458537,luebc001,luebkco01,1984,2010.0,2016.0
liz,radhames,467785,liz-r001,lizra01,5843,2007.0,2015.0
bogusevic,brian,460131,bogub001,bogusbr01,4719,2010.0,2015.0
albers,andrew,452027,albea001,alberan01,7853,2013.0,2021.0
van slyke,scott,475100,vanss001,vanslsc01,4365,2012.0,2017.0
wilson,c. j.,450351,wilsc004,wilsocj01,3580,2005.0,2015.0
cozart,zack,446359,cozaz001,cozarza01,2616,2011.0,2019.0
bonifácio,emilio,466988,bonie001,bonifem01,4054,2007.0,2020.0
montero,miguel,471083,montm001,montemi01,3364,2006.0,2018.0
gordon,alex,460086,gorda001,gordoal01,5209,2007.0,2020.0
breslow,craig,444520,bresc001,breslcr01,4363,2005.0,2017.0
aardsma,david,430911,aardd001,aardsda01,1902,2004.0,2015.0
guerra,junior,448855,guerj003,guerrju02,5702,2015.0,2021.0
robinson,shane,453203,robis001,robinsh01,4249,2009.0,2018.0
lackey,john,407793,lackj001,lackejo01,1507,2002.0,2017.0
gimenez,chris,460269,gimec001,gimench01,7324,2009.0,2018.0
deduno,sam,465679,dedus001,dedunsa01,5285,2010.0,2015.0
uggla,dan,462564,uggld001,ugglada01,3442,2006.0,2015.0
barmes,clint,425549,barmc001,barmecl01,1830,2003.0,2015.0
pence,hunter,452254,pench001,pencehu01,8252,2007.0,2020.0
scherzer,max,453286,schem001,scherma01,3137,2008.0,2026.0
corporán,carlos,449786,corpc001,corpoca01,5587,2009.0,2015.0
wainwright,adam,425794,waina001,wainwad01,2233,2005.0,2023.0
jiménez,ubaldo,434622,jimeu001,jimenub01,3374,2006.0,2017.0
upton,b. j.,425834,uptob001,uptonbj01,5015,2004.0,2016.0
mcgehee,casey,431171,mcgec001,mcgehca01,6086,2008.0,2016.0
santana,carlos,467793,santc002,santaca01,2396,2010.0,2026.0
kirkman,michael,457779,kirkm001,kirkmmi01,9877,2010.0,2016.0
o'sullivan,sean,457711,osuls001,osullse01,9137,2009.0,2016.0
bernier,doug,448674,bernd001,bernido01,4518,2008.0,2015.0
rodney,fernando,407845,rodnf001,rodnefe01,494,2002.0,2019.0
lindblom,josh,458676,lindj004,lindbjo01,7882,2011.0,2021.0
benoit,joaquín,276542,benoj001,benoijo01,1437,2001.0,2017.0
jones,adam,430945,jonea003,jonesad01,6368,2006.0,2019.0
dyson,sam,473879,dysos001,dysonsa01,11710,2012.0,2019.0
lohse,kyle,346798,lohsk001,lohseky01,739,2001.0,2016.0
jackson,austin,457706,jacka001,jacksau01,9848,2010.0,2018.0
thayer,dale,445612,thayd001,thayeda01,5032,2009.0,2015.0
cedeño,xavier,458584,cedex001,cedenxa01,36,2011.0,2019.0
molleken,dustin,451783,molld001,molledu01,6200,2016.0,2016.0
