playerID,nameFirst,nameLast,yearID,batted_ball_count,next_OPS,age,OPS,OBP,SLG,avg_launch_speed,avg_launch_angle,hard_hit_rate,avg_estimated_woba,avg_estimated_slg
abreujo02,Jose,Abreu,2017,180.0,0.798443179306171,30.0,0.9064090177133656,0.3540740740740741,0.5523349436392915,85.18777777777777,15.794444444444444,0.3,0.3209997534246575,0.5659910714285714
abreujo02,Jose,Abreu,2018,150.0,0.8336019045798225,31.0,0.798443179306171,0.325497287522604,0.4729458917835671,85.694,17.106666666666666,0.3,0.3871490677966102,0.6749058823529411
abreujo02,Jose,Abreu,2021,197.0,0.8244212517674274,34.0,0.8310964787637334,0.3505311077389985,0.4805653710247349,85.89035532994924,15.791878172588833,0.3096446700507614,0.2937856321144672,0.5567395833333334
abreujo02,Jose,Abreu,2022,227.0,0.6796296296296296,35.0,0.8244212517674274,0.3784977908689249,0.4459234608985025,84.29471365638767,16.92511013215859,0.3039647577092511,0.3504986812677559,0.6197310924369747
abreujo02,Jose,Abreu,2023,231.0,0.3613569321533923,36.0,0.6796296296296296,0.2962962962962963,0.3833333333333333,81.24112554112554,18.81385281385281,0.2207792207792207,0.3144796664673905,0.4938125
adamsma01,Matt,Adams,2018,111.0,0.7407924053085344,30.0,0.7857295242528268,0.3086053412462908,0.477124183006536,85.01261261261261,21.18918918918919,0.2972972972972973,0.3415889247311828,0.6182461538461539
aguilje01,Jesus,Aguilar,2021,162.0,0.6607474705760892,31.0,0.7875101986813381,0.3287128712871287,0.4587973273942093,83.2388888888889,20.839506172839503,0.2530864197530864,0.3522337810691451,0.5923298969072165
aguilje01,Jesus,Aguilar,2022,155.0,0.6653171390013495,32.0,0.6607474705760892,0.281437125748503,0.3793103448275862,80.62709677419355,21.161290322580644,0.2064516129032258,0.2972021609572319,0.5808620689655172
ahmedni01,Nick,Ahmed,2023,63.0,0.5619047619047619,33.0,0.5601731601731601,0.2571428571428571,0.303030303030303,80.5111111111111,17.3015873015873,0.2222222222222222,0.2703774561403508,0.4158157894736842
alonsyo01,Yonder,Alonso,2017,141.0,0.7376158063906221,30.0,0.8657919487936809,0.3646833013435701,0.5011086474501109,85.32765957446809,21.81560283687943,0.3191489361702128,0.4066508333333333,0.801906976744186
alonsyo01,Yonder,Alonso,2018,172.0,0.6414127990186056,31.0,0.7376158063906221,0.3170731707317073,0.4205426356589147,83.79418604651163,14.005813953488373,0.2906976744186046,0.3018319805194805,0.5197777777777778
altuvjo01,Jose,Altuve,2021,195.0,0.9206240496625908,31.0,0.8392585474234229,0.3500738552437223,0.4891846921797005,82.86102564102563,17.51794871794872,0.282051282051282,0.3437506407093245,0.5432
altuvjo01,Jose,Altuve,2022,209.0,0.9149051490514906,32.0,0.9206240496625908,0.3874172185430463,0.5332068311195446,80.31244019138755,17.37799043062201,0.1866028708133971,0.3051048206163012,0.4618
altuvjo01,Jose,Altuve,2023,109.0,0.7899303285578199,33.0,0.9149051490514906,0.3926829268292683,0.5222222222222223,80.02385321100918,7.935779816513762,0.2110091743119266,0.3621005260513431,0.7224736842105263
anderti01,Tim,Anderson,2023,213.0,0.4630102493173033,30.0,0.5824055866094793,0.2862595419847328,0.2961460446247465,81.13521126760563,8.80373831775701,0.2253521126760563,0.2955013606228878,0.4792621359223301
