batter,yearID,age_bat,batted_ball_count,avg_launch_speed,avg_launch_angle,hard_hit_rate,avg_estimated_woba,avg_estimated_slg
112526,2015,210.0,13,89.76923076923077,-3.0,0.3076923076923077,0.15236842105263157,0.3170909090909091
112526,2016,215.0,8,86.5875,15.875,0.25,0.10392307692307692,0.39859999999999995
112526,2017,132.0,2,78.55000000000001,11.0,0.0,0.0555,0.13849999999999998
112526,2018,45.0,0,,,,0.0,
115629,2015,43.0,0,,,,0.0,
116338,2015,240.0,114,87.0421052631579,13.587719298245615,0.2807017543859649,0.3065974047619048,0.49138297872340425
120074,2015,240.0,102,94.11666666666666,14.323529411764707,0.5,0.4262536428571429,0.8782073170731708
120074,2016,246.0,129,88.06434108527132,16.767441860465116,0.3875968992248062,0.4723321794871795,0.8744597701149426
121347,2015,240.0,98,89.5204081632653,11.153061224489797,0.46938775510204084,0.3736008591549296,0.7339404761904762
121347,2016,164.0,62,86.07096774193548,16.806451612903224,0.3548387096774194,0.34901766666666667,0.6643684210526315
133380,2015,222.0,103,86.49417475728156,11.553398058252426,0.3300970873786408,0.26441541379310346,0.44111904761904763
134181,2015,180.0,132,88.13939393939395,10.090909090909092,0.3712121212121212,0.3467236299212598,0.5325242718446602
134181,2016,222.0,197,86.48832487309645,19.086294416243653,0.3096446700507614,0.35988952095808385,0.5486521739130434
134181,2017,114.0,91,80.48571428571428,21.076923076923077,0.21978021978021978,0.34902380303030306,0.506595744680851
134181,2018,234.0,132,84.21439393939393,19.477272727272727,0.2803030303030303,0.3005580530973451,0.479925
136860,2015,190.0,97,88.12268041237112,13.824742268041238,0.36082474226804123,0.32587076190476194,0.4827631578947369
136860,2016,234.0,173,87.60693641618496,16.109826589595375,0.34104046242774566,0.3476293071895425,0.5886583333333333
136860,2017,240.0,148,81.67364864864864,15.763513513513514,0.20270270270270271,0.2517983565891473,0.4504020618556701
150029,2015,108.0,58,88.7896551724138,18.03448275862069,0.3275862068965517,0.3355658888888889,0.6103125
150029,2016,222.0,139,85.51870503597122,20.56115107913669,0.26618705035971224,0.3133898235294118,0.4914318181818182
150029,2017,152.0,72,83.70833333333333,18.291666666666668,0.2638888888888889,0.33350626666666666,0.7158936170212765
150212,2015,216.0,79,84.20379746835444,10.49367088607595,0.25316455696202533,0.2377003411764706,0.40138983050847454
150229,2015,234.0,90,85.25666666666667,10.244444444444444,0.23333333333333334,0.3328073222222222,0.4620253164556962
150229,2016,240.0,75,83.70266666666666,8.2,0.29333333333333333,0.25683245161290325,0.3694259259259259
150302,2015,37.0,2,76.05,14.5,0.0,0.4755,0.556
150359,2015,190.0,7,82.85714285714286,2.857142857142857,0.42857142857142855,0.29575,0.6671666666666667
217100,2015,114.0,10,86.27000000000001,21.5,0.1,0.11608333333333336,0.17633333333333334
218596,2015,160.0,9,75.15555555555555,28.555555555555557,0.1111111111111111,0.2894,0.43144444444444446
276519,2015,222.0,112,85.18392857142858,14.133928571428571,0.21428571428571427,0.25816874590163935,0.377563829787234
276519,2016,114.0,65,79.87230769230769,19.861538461538462,0.12307692307692308,0.23348976271186442,0.29673684210526313
276520,2017,120.0,4,81.9,21.25,0.0,0.2577142857142857,0.542
282332,2019,39.0,2,76.95,-21.5,0.0,0.0,
285064,2015,190.0,9,79.58888888888889,-3.0,0.1111111111111111,0.1287857142857143,0.22922222222222224
285064,2016,78.0,3,77.93333333333334,15.333333333333334,0.0,0.0255,0.057
285078,2015,68.0,28,88.12142857142858,7.357142857142857,0.42857142857142855,0.2735201764705883,0.3819615384615385
285079,2017,258.0,22,71.66363636363636,4.045454545454546,0.0,0.13905555555555554,0.1758823529411765
346798,2015,148.0,4,84.175,3.5,0.25,0.1548,0.3096666666666667
346874,2015,216.0,97,86.0020618556701,12.02061855670103,0.27835051546391754,0.2690418348623853,0.40125974025974026
346874,2016,148.0,71,83.05915492957746,13.633802816901408,0.2112676056338028,0.27510234920634924,0.39331818181818184
400085,2015,252.0,82,84.66707317073171,4.682926829268292,0.18292682926829268,0.2796657912087912,0.32293055555555555
400085,2016,258.0,77,80.57012987012986,13.688311688311689,0.15584415584415584,0.31173039062499996,0.4118333333333333
400085,2017,264.0,56,79.97321428571429,8.928571428571429,0.125,0.29880787234042555,0.353972972972973
400085,2018,90.0,15,81.23333333333333,3.0,0.06666666666666667,0.239595625,0.3493636363636364
400121,2015,185.0,125,89.06639999999999,16.152,0.408,0.39294150862068966,0.636319587628866
400121,2016,228.0,158,85.54177215189873,20.537974683544302,0.3291139240506329,0.36414782222222225,0.6219207920792079
400121,2017,195.0,116,84.6094827586207,16.71551724137931,0.2672413793103448,0.336294793814433,0.5007662337662337
400121,2018,240.0,162,84.69074074074074,16.771604938271604,0.2037037037037037,0.3197449579831933,0.4974897959183674
400284,2015,185.0,76,85.85789473684211,12.052631578947368,0.3026315789473684,0.26101793406593404,0.40713333333333335
400284,2016,228.0,133,83.71353383458646,11.827067669172932,0.2556390977443609,0.3288086074074074,0.5222307692307693
400284,2017,234.0,90,81.54,18.788888888888888,0.12222222222222222,0.26866110666666665,0.4358076923076923
400284,2018,280.0,38,83.02631578947368,23.94736842105263,0.23684210526315788,0.266407375,0.4281739130434783
