playerID,nameFirst,nameLast,yearID,age,G,AB,H,2B,3B,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,bats,throws,prev_year,next_year,prev_OPS,next_OPS,prev_OBP,next_OBP,prev_SLG,next_SLG,delta_OPS,delta_OBP,delta_SLG,statcast_age_bat,batted_ball_count,avg_launch_speed,avg_launch_angle,hard_hit_rate,avg_estimated_woba,avg_estimated_slg
abreujo02,Jose,Abreu,2017,30.0,156,621,189,43,6,33,102.0,3.0,35,119.0,0.3043478260869565,0.3540740740740741,0.5523349436392915,0.9064090177133656,R,R,,2018.0,,0.798443179306171,,0.325497287522604,,0.4729458917835671,,,,180.0,180.0,85.18777777777777,15.794444444444444,0.3,0.3209997534246575,0.5659910714285714
abreujo02,Jose,Abreu,2018,31.0,128,499,132,36,1,22,78.0,2.0,37,109.0,0.2645290581162324,0.325497287522604,0.4729458917835671,0.798443179306171,R,R,2017.0,2019.0,0.9064090177133656,0.8336019045798225,0.3540740740740741,0.3304473304473304,0.5523349436392915,0.5031545741324921,-0.1079658384071945,-0.0285767865514701,-0.0793890518557243,155.0,150.0,85.694,17.106666666666666,0.3,0.3871490677966102,0.6749058823529411
abreujo02,Jose,Abreu,2021,34.0,152,566,148,30,2,30,117.0,1.0,61,143.0,0.2614840989399293,0.3505311077389985,0.4805653710247349,0.8310964787637334,R,R,2019.0,2022.0,,0.8244212517674274,,0.3784977908689249,,0.4459234608985025,,,,204.0,197.0,85.89035532994924,15.791878172588833,0.3096446700507614,0.2937856321144672,0.5567395833333334
abreujo02,Jose,Abreu,2022,35.0,157,601,183,40,0,15,75.0,0.0,62,110.0,0.3044925124792013,0.3784977908689249,0.4459234608985025,0.8244212517674274,R,R,2021.0,2023.0,0.8310964787637334,0.6796296296296296,0.3505311077389985,0.2962962962962963,0.4805653710247349,0.3833333333333333,-0.0066752269963059,0.0279666831299263,-0.0346419101262324,210.0,227.0,84.29471365638767,16.92511013215859,0.3039647577092511,0.3504986812677559,0.6197310924369747
abreujo02,Jose,Abreu,2023,36.0,141,540,128,23,1,18,90.0,0.0,42,130.0,0.237037037037037,0.2962962962962963,0.3833333333333333,0.6796296296296296,R,R,2022.0,2024.0,0.8244212517674274,0.3613569321533923,0.3784977908689249,0.1666666666666666,0.4459234608985025,0.1946902654867256,-0.1447916221377978,-0.0822014945726286,-0.0625901275651691,252.0,231.0,81.24112554112554,18.81385281385281,0.2207792207792207,0.3144796664673905,0.4938125
adamsma01,Matt,Adams,2018,30.0,121,306,73,10,0,21,57.0,0.0,27,73.0,0.238562091503268,0.3086053412462908,0.477124183006536,0.7857295242528268,L,R,,2019.0,,0.7407924053085344,,0.2762762762762762,,0.4645161290322581,,,,180.0,111.0,85.01261261261261,21.18918918918919,0.2972972972972973,0.3415889247311828,0.6182461538461539
aguilje01,Jesus,Aguilar,2021,31.0,131,449,117,23,0,22,93.0,0.0,46,93.0,0.2605790645879732,0.3287128712871287,0.4587973273942093,0.7875101986813381,R,R,,2022.0,,0.6607474705760892,,0.281437125748503,,0.3793103448275862,,,,186.0,162.0,83.2388888888889,20.839506172839503,0.2530864197530864,0.3522337810691451,0.5923298969072165
aguilje01,Jesus,Aguilar,2022,32.0,129,464,109,19,0,16,51.0,1.0,28,119.0,0.2349137931034483,0.281437125748503,0.3793103448275862,0.6607474705760892,R,R,2021.0,2023.0,0.7875101986813381,0.6653171390013495,0.3287128712871287,0.2807017543859649,0.4587973273942093,0.3846153846153846,-0.1267627281052489,-0.0472757455386257,-0.0794869825666231,192.0,155.0,80.62709677419355,21.161290322580644,0.2064516129032258,0.2972021609572319,0.5808620689655172
ahmedni01,Nick,Ahmed,2023,33.0,72,198,42,10,1,2,17.0,5.0,12,52.0,0.2121212121212121,0.2571428571428571,0.303030303030303,0.5601731601731601,R,R,2021.0,2024.0,,0.5619047619047619,,0.2666666666666666,,0.2952380952380952,,,,198.0,63.0,80.5111111111111,17.3015873015873,0.2222222222222222,0.2703774561403508,0.4158157894736842
alonsyo01,Yonder,Alonso,2017,30.0,142,451,120,22,0,28,67.0,2.0,68,118.0,0.2660753880266075,0.3646833013435701,0.5011086474501109,0.8657919487936809,L,R,,2018.0,,0.7376158063906221,,0.3170731707317073,,0.4205426356589147,,,,180.0,141.0,85.32765957446809,21.81560283687943,0.3191489361702128,0.4066508333333333,0.801906976744186
alonsyo01,Yonder,Alonso,2018,31.0,145,516,129,19,0,23,83.0,0.0,51,123.0,0.25,0.3170731707317073,0.4205426356589147,0.7376158063906221,L,R,2017.0,2019.0,0.8657919487936809,0.6414127990186056,0.3646833013435701,0.2955223880597015,0.5011086474501109,0.3458904109589041,-0.1281761424030588,-0.0476101306118627,-0.0805660117911961,217.0,172.0,83.79418604651163,14.005813953488373,0.2906976744186046,0.3018319805194805,0.5197777777777778
altuvjo01,Jose,Altuve,2021,31.0,146,601,167,32,1,31,83.0,5.0,66,91.0,0.2778702163061564,0.3500738552437223,0.4891846921797005,0.8392585474234229,R,R,,2022.0,,0.9206240496625908,,0.3874172185430463,,0.5332068311195446,,,,186.0,195.0,82.86102564102563,17.51794871794872,0.282051282051282,0.3437506407093245,0.5432
altuvjo01,Jose,Altuve,2022,32.0,141,527,158,39,0,28,57.0,18.0,66,87.0,0.2998102466793169,0.3874172185430463,0.5332068311195446,0.9206240496625908,R,R,2021.0,2023.0,0.8392585474234229,0.9149051490514906,0.3500738552437223,0.3926829268292683,0.4891846921797005,0.5222222222222223,0.081365502239168,0.037343363299324,0.044022138939844,192.0,209.0,80.31244019138755,17.37799043062201,0.1866028708133971,0.3051048206163012,0.4618
