playerID,nameFirst,nameLast,yearID,age,G,AB,H,2B,3B,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,bats,throws,prev_year,next_year,prev_OPS,next_OPS,prev_OBP,next_OBP,prev_SLG,next_SLG,delta_OPS,delta_OBP,delta_SLG,velocity_bin,statcast_age_bat_velocity_sum,statcast_age_bat_velocity_count,velocity_pitch_count,release_speed_sum,release_speed_count,velocity_batted_ball_count,velocity_launch_speed_sum,velocity_launch_angle_sum,velocity_launch_angle_count,velocity_hard_hit_sum,velocity_xwoba_sum,velocity_xwoba_count,velocity_xslg_sum,velocity_xslg_count,velocity_bin_label,statcast_age_bat_velocity,avg_pitch_speed_in_bin,velocity_avg_launch_speed,velocity_avg_launch_angle,velocity_hard_hit_rate,velocity_avg_estimated_woba,velocity_avg_estimated_slg
brantmi02,Michael,Brantley,2021,34.0,121,469,146,29,3,8,47.0,1.0,33,53.0,0.3113006396588486,0.3622047244094488,0.4371002132196162,0.7993049376290651,L,L,2019.0,2022.0,,0.7852030774736088,,0.3695652173913043,,0.4156378600823045,,,,v_85_90,3196.0,94.0,94.0,8208.699999999999,94.0,40.0,3270.3,464.0,40.0,10.0,7.994500333333333,24.0,10.599,20.0,85~90mph,34.0,87.32659574468084,81.75750000000001,11.6,0.25,0.3331041805555555,0.52995
brantmi02,Michael,Brantley,2021,34.0,121,469,146,29,3,8,47.0,1.0,33,53.0,0.3113006396588486,0.3622047244094488,0.4371002132196162,0.7993049376290651,L,L,2019.0,2022.0,,0.7852030774736088,,0.3695652173913043,,0.4156378600823045,,,,v_90_95,4692.0,138.0,138.0,12773.8,138.0,55.0,4858.599999999999,415.0,55.0,22.0,18.748586556603772,44.0,21.904,37.0,90~95mph,34.0,92.56376811594203,88.33818181818181,7.545454545454546,0.4,0.426104239922813,0.592
brantmi02,Michael,Brantley,2021,34.0,121,469,146,29,3,8,47.0,1.0,33,53.0,0.3113006396588486,0.3622047244094488,0.4371002132196162,0.7993049376290651,L,L,2019.0,2022.0,,0.7852030774736088,,0.3695652173913043,,0.4156378600823045,,,,v_ge95,2176.0,64.0,64.0,6161.8,64.0,26.0,2235.9,580.0,26.0,8.0,8.507701351981352,13.0,14.134,13.0,95mph 이상,34.0,96.278125,85.99615384615385,22.307692307692307,0.3076923076923077,0.6544385655370271,1.0872307692307692
brantmi02,Michael,Brantley,2022,35.0,64,243,70,14,1,5,26.0,1.0,31,30.0,0.2880658436213992,0.3695652173913043,0.4156378600823045,0.7852030774736088,L,L,2021.0,,0.7993049376290651,,0.3622047244094488,,0.4371002132196162,,-0.0141018601554562,0.0073604929818554,-0.0214623531373117,v_lt85,2030.0,58.0,58.0,4736.0,58.0,19.0,1622.8000000000002,285.0,19.0,6.0,4.752218747474748,12.0,6.0920000000000005,10.0,85mph 미만,35.0,81.65517241379311,85.41052631578948,15.0,0.3157894736842105,0.396018228956229,0.6092000000000001
brantmi02,Michael,Brantley,2022,35.0,64,243,70,14,1,5,26.0,1.0,31,30.0,0.2880658436213992,0.3695652173913043,0.4156378600823045,0.7852030774736088,L,L,2021.0,,0.7993049376290651,,0.3622047244094488,,0.4371002132196162,,-0.0141018601554562,0.0073604929818554,-0.0214623531373117,v_85_90,1995.0,57.0,57.0,4996.0,57.0,22.0,1907.7,301.0,22.0,7.0,7.135095636363636,21.0,7.897,14.0,85~90mph,35.0,87.64912280701755,86.71363636363637,13.681818181818182,0.3181818181818182,0.3397664588744589,0.5640714285714286
brantmi02,Michael,Brantley,2022,35.0,64,243,70,14,1,5,26.0,1.0,31,30.0,0.2880658436213992,0.3695652173913043,0.4156378600823045,0.7852030774736088,L,L,2021.0,,0.7993049376290651,,0.3622047244094488,,0.4371002132196162,,-0.0141018601554562,0.0073604929818554,-0.0214623531373117,v_90_95,3955.0,113.0,113.0,10479.6,113.0,34.0,2822.0,526.0,34.0,9.0,11.481753454545455,30.0,8.824,20.0,90~95mph,35.0,92.73982300884956,83.0,15.470588235294118,0.2647058823529412,0.38272511515151514,0.4412
brantmi02,Michael,Brantley,2022,35.0,64,243,70,14,1,5,26.0,1.0,31,30.0,0.2880658436213992,0.3695652173913043,0.4156378600823045,0.7852030774736088,L,L,2021.0,,0.7993049376290651,,0.3622047244094488,,0.4371002132196162,,-0.0141018601554562,0.0073604929818554,-0.0214623531373117,v_ge95,980.0,28.0,28.0,2709.9,28.0,11.0,983.0,248.0,11.0,5.0,4.034510795865633,7.0,5.514,6.0,95mph 이상,35.0,96.78214285714286,89.36363636363636,22.545454545454547,0.45454545454545453,0.5763586851236618,0.919
braunry02,Ryan,Braun,2015,32.0,140,506,144,27,3,25,84.0,24.0,54,115.0,0.2845849802371542,0.3562610229276896,0.4980237154150198,0.8542847383427093,R,R,,2016.0,,0.9034086966176736,,0.3652482269503546,,0.538160469667319,,,,v_lt85,4000.0,125.0,125.0,10045.800000000001,125.0,32.0,2870.6,219.0,32.0,12.0,13.467843,38.0,18.4,29.0,85mph 미만,32.0,80.36640000000001,89.70625,6.84375,0.375,0.35441692105263156,0.6344827586206896
braunry02,Ryan,Braun,2015,32.0,140,506,144,27,3,25,84.0,24.0,54,115.0,0.2845849802371542,0.3562610229276896,0.4980237154150198,0.8542847383427093,R,R,,2016.0,,0.9034086966176736,,0.3652482269503546,,0.538160469667319,,,,v_85_90,3808.0,119.0,119.0,10416.9,119.0,24.0,2132.5,-34.0,24.0,9.0,7.251529,30.0,6.259,21.0,85~90mph,32.0,87.53697478991596,88.85416666666667,-1.4166666666666667,0.375,0.24171763333333332,0.29804761904761906
braunry02,Ryan,Braun,2015,32.0,140,506,144,27,3,25,84.0,24.0,54,115.0,0.2845849802371542,0.3562610229276896,0.4980237154150198,0.8542847383427093,R,R,,2016.0,,0.9034086966176736,,0.3652482269503546,,0.538160469667319,,,,v_90_95,6720.0,210.0,210.0,19442.4,210.0,36.0,3211.2,296.0,36.0,17.0,21.33943,49.0,20.57,31.0,90~95mph,32.0,92.58285714285715,89.19999999999999,8.222222222222221,0.4722222222222222,0.43549857142857146,0.6635483870967742
