feature,n,corr_with_next_WHIP,corr_with_delta_next_WHIP,mean,std
avg_release_spin_rate,834,-0.17015643858450108,0.003350261278190059,2233.3168059096984,201.78544766606058
fastball_avg_spin,834,-0.20245232765882346,0.0171746279584745,2247.8853794381967,158.08810424821374
breaking1_avg_spin,834,-0.08988031449293525,-0.012737006286382897,2394.8384522215906,277.4185489998346
breaking2_avg_spin,834,-0.030016643438657165,-0.060602127978776905,1108.5316722830917,1221.474079613209
