age_group,player_seasons,unique_players,avg_WHIP,avg_next_WHIP,avg_delta_next_WHIP,median_delta_next_WHIP,avg_ERA,avg_release_speed,avg_effective_speed,avg_release_spin_rate,avg_release_extension,avg_fastball_avg_speed,avg_fastball_avg_spin,avg_breaking1_avg_spin,avg_pitch_count
30-32,506,311,1.2439921644880412,1.2911136332194535,0.0471214687314121,0.04616400336995241,3.7562173335897286,88.91257292666003,88.6218068375959,2225.5795566360785,6.15459259549794,92.64381628667454,2245.4030011732025,2381.618797343522,369.598814229249
33-35,249,158,1.237999892552875,1.285634871174121,0.0476349786212459,0.027514819074581975,3.8112263947480893,87.90400404667588,87.72753310266168,2235.4306446278392,6.200224468374928,91.77650061564823,2245.059201651426,2404.7053425430336,379.421686746988
36+,79,48,1.1969467406758496,1.2999563340960933,0.10300959342024371,0.0939302389453448,3.5044759227595943,87.43468410831959,87.17229102167109,2276.2117716265934,6.173336784298094,91.34689111129408,2272.6929955267124,2448.4117392882176,394.8101265822785
