dataset,model_name,RMSE_Model_A,RMSE_Model_B,RMSE_improvement_A_minus_B,MAE_Model_A,MAE_Model_B,MAE_improvement_A_minus_B,R2_Model_A,R2_Model_B
batter,LinearRegression,0.10641362448889806,0.10034390345623233,0.006069721032665731,0.0827112572999316,0.07774546137276721,0.004965795927164396,0.21303228370306093,0.30024754925463093
batter,Ridge,0.1064142089750998,0.10035312271234315,0.006061086262756657,0.08271071961038315,0.07775546292344283,0.004955256686940315,0.21302363870037788,0.30011896160371476
batter,RandomForest,0.10712441400597741,0.09858361082275473,0.008540803183222687,0.08424911719912864,0.0771147259836405,0.007134391215488145,0.2024840751332051,0.32458315566598017
pitcher,LinearRegression,0.21147957589880714,0.20368134919358774,0.007798226705219402,0.1668011194755175,0.15798672842535058,0.008814391050166931,0.006790774149713297,0.07868867503678945
pitcher,Ridge,0.21145060581562508,0.2032593567654652,0.008191249050159888,0.16678103242481845,0.15818462677704315,0.008596405647775307,0.007062870241935859,0.08250231487783066
pitcher,RandomForest,0.21681079281255622,0.2034698684861391,0.01334092432641712,0.17114219063757505,0.16154948859192206,0.00959270204565299,-0.04391629916264983,0.08060086210128659
