age_group,player_seasons,unique_players,avg_OPS,avg_next_OPS,avg_delta_next_OPS,median_delta_next_OPS,avg_launch_speed,avg_launch_angle,avg_hard_hit_rate,avg_estimated_woba,avg_estimated_slg,avg_batted_ball_count
30-32,526,310,0.7501895965749811,0.7228446103480645,-0.027344986226916605,-0.029294237542612678,83.82267447392813,16.27502172525499,0.26527531741854643,0.3219641143971218,0.5566338587484074,121.18250950570342
33-35,255,153,0.7467109798969935,0.7222988845290622,-0.024412095367931336,-0.024436837571650494,84.03943676934675,15.666978736141905,0.26811314804809605,0.3299536286816255,0.5485700014360921,121.07058823529412
36+,80,45,0.7437699168765718,0.7161117912786423,-0.027658125597929416,-0.035056193858341245,84.61776503516657,17.0088258512566,0.2762756208091417,0.3315646739414515,0.557119053177469,130.275
